,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.7446129558322081,0.7446129558322081,0.7446129558322081,0.7446129558322081,0.5809129429892141,0.5809129429892141,0.5809129429892141,0.5809129429892141,0.5402714932126698,0.5402714932126698,0.5402714932126698,0.5402714932126698
case,LC0,0.8107307994952582,0.7220024937655861,0.7606383934482601,400.8,0.6523574487800616,0.587089108910891,0.611869851235591,100.2,0.5981684981684982,0.5536,0.5703464439121662,125.0
control,LC0,0.684771969651512,0.7742312225436623,0.7238249165791997,305.6,0.5119301712779973,0.5733082706766917,0.5359607853903459,76.4,0.4787429175069624,0.5229166666666666,0.4959279279279279,96.0
macro avg,LC0,0.7477513845733851,0.7481168581546241,0.74223165501373,706.4,0.5821438100290295,0.5801986897937914,0.5739153183129685,176.6,0.5384557078377303,0.5382583333333333,0.5331371859200471,221.0
weighted avg,LC0,0.756231626746146,0.7446129558322081,0.7447168303892683,706.4,0.5916753444334082,0.5809129429892141,0.5789528823691279,176.6,0.5462913228585098,0.5402714932126698,0.5380198487334926,221.0
accuracy,LC1,0.7423518758189053,0.7423518758189053,0.7423518758189053,0.7423518758189053,0.621648690292758,0.621648690292758,0.621648690292758,0.621648690292758,0.5013574660633484,0.5013574660633484,0.5013574660633484,0.5013574660633484
case,LC1,0.8348966934977147,0.6816658354114713,0.7496339854502378,400.8,0.7002529942937089,0.5787128712871288,0.6330712745141248,100.2,0.5730218525685777,0.4671999999999999,0.5143785181442914,125.0
control,LC1,0.6642904295765262,0.8220122147219543,0.7340676257320908,305.6,0.5530794147267897,0.6778537252221463,0.6086793270411823,76.4,0.4400762824011112,0.5458333333333333,0.4870338507991906,96.0
macro avg,LC1,0.7495935615371204,0.7518390250667129,0.7418508055911645,706.4,0.6266662045102492,0.6282832982546376,0.6208753007776536,176.6,0.5065490674848444,0.5065166666666666,0.500706184471741,221.0
weighted avg,LC1,0.7611049670168021,0.7423518758189053,0.7428922259870792,706.4,0.6365757964794424,0.621648690292758,0.6225381927984049,176.6,0.5152717406406284,0.5013574660633484,0.5025002916052431,221.0
accuracy,LC2,0.736696170628799,0.736696170628799,0.736696170628799,0.736696170628799,0.6455701078582434,0.6455701078582434,0.6455701078582434,0.6455701078582434,0.4886877828054299,0.4886877828054299,0.4886877828054299,0.4886877828054299
case,LC2,0.7902498810090434,0.7340399002493766,0.7589796935035148,400.8,0.7078939316675166,0.6428316831683168,0.6704268725457316,100.2,0.5514040060468632,0.5104,0.5277675520537259,125.0
control,LC2,0.6827537334630093,0.7401478624236579,0.7078817410458829,305.6,0.5860591683090872,0.6493848257006152,0.6124580432414817,76.4,0.4189269020947915,0.4604166666666666,0.4361018501052717,96.0
macro avg,LC2,0.7365018072360263,0.7370938813365173,0.7334307172746988,706.4,0.6469765499883019,0.6461082544344661,0.6414424578936067,176.6,0.4851654540708273,0.4854083333333333,0.4819347010794989,221.0
weighted avg,LC2,0.7437389999248065,0.736696170628799,0.7368778022676509,706.4,0.6552193988328898,0.6455701078582434,0.6453169103711158,176.6,0.4938573907554655,0.4886877828054299,0.4879489665919539,221.0
accuracy,LC3,0.7352753324705195,0.7352753324705195,0.7352753324705195,0.7352753324705195,0.6013803287108372,0.6013803287108372,0.6013803287108372,0.6013803287108372,0.4805429864253393,0.4805429864253393,0.4805429864253393,0.4805429864253393
case,LC3,0.7972182151399815,0.7200249376558603,0.7540216928881165,400.8,0.6640033485003709,0.600970297029703,0.628946269430485,100.2,0.5479670515362896,0.4831999999999999,0.5111825901970624,125.0
control,LC3,0.6776006607666503,0.7552448301725062,0.7109953926794048,305.6,0.5381573131843604,0.6018796992481203,0.5659706801304324,76.4,0.4118593797049081,0.4770833333333334,0.4397687960977544,96.0
macro avg,LC3,0.7374094379533158,0.7376348839141833,0.7325085427837607,706.4,0.6010803308423657,0.6014249981389117,0.5974584747804588,176.6,0.4799132156205988,0.4801416666666666,0.4754756931474084,221.0
weighted avg,LC3,0.7454640731696198,0.7352753324705195,0.7354118143787476,706.4,0.6095737921738756,0.6013803287108372,0.601717370496719,176.6,0.4888433569851013,0.4805429864253393,0.4801612135747385,221.0
