,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.6721405932580308,0.6721405932580308,0.6721405932580308,0.6721405932580308,0.5006227529532614,0.5006227529532614,0.5006227529532614,0.5006227529532614,0.5339366515837105,0.5339366515837105,0.5339366515837105,0.5339366515837105
case,LC0,0.7301700904678061,0.6696620947630922,0.6986031049020605,400.8,0.5647107912168152,0.5151485148514852,0.53726691099538,100.2,0.5968104222284839,0.5408000000000001,0.5673085824642775,125.0
control,LC0,0.6091881926156472,0.6753948355298404,0.6405794585419018,305.6,0.4322800887056206,0.4817498291182501,0.4542732413230765,76.4,0.4680167224891995,0.525,0.4947561978910615,96.0
macro avg,LC0,0.6696791415417266,0.6725284651464662,0.6695912817219811,706.4,0.498495439961218,0.4984491719848677,0.4957700761592283,176.6,0.5324135723588418,0.5329,0.5310323901776696,221.0
weighted avg,LC0,0.6778324022494818,0.6721405932580308,0.6735008815814072,706.4,0.5074255905139583,0.5006227529532614,0.5013271968336077,176.6,0.5408638377263514,0.5339366515837105,0.5357926145048715,221.0
accuracy,LC10,0.6183494877209291,0.6183494877209291,0.6183494877209291,0.6183494877209291,0.5051489470980997,0.5051489470980997,0.5051489470980997,0.5051489470980997,0.4904977375565611,0.4904977375565611,0.4904977375565611,0.4904977375565611
case,LC10,0.683858133978769,0.6087830423940149,0.6440965306454327,400.8,0.5693771562830457,0.5108118811881188,0.5370589127467429,100.2,0.5562399105319459,0.488,0.5197021569212458,125.0
control,LC10,0.5515601902541607,0.6309011036108433,0.588526260539086,305.6,0.4384303865882812,0.4972317156527682,0.4646534083443819,76.4,0.4257785637095981,0.49375,0.4570946210001407,96.0
macro avg,LC10,0.617709162116465,0.619842073002429,0.6163113955922593,706.4,0.5039037714356636,0.5040217984204436,0.5008561605455624,176.6,0.491009237120772,0.4908749999999999,0.4883983889606932,221.0
weighted avg,LC10,0.6266249014599724,0.6183494877209291,0.6200553562784761,706.4,0.5127388184871522,0.5051489470980997,0.5058467698622111,176.6,0.4995689182471252,0.4904977375565611,0.4925061232179603,221.0
accuracy,LC11,0.6124016812850852,0.6124016812850852,0.6124016812850852,0.6124016812850852,0.5255328710837185,0.5255328710837185,0.5255328710837185,0.5255328710837185,0.4678733031674207,0.4678733031674207,0.4678733031674207,0.4678733031674207
case,LC11,0.6704258730029067,0.6232593516209477,0.6459536372666358,400.8,0.5897140280853036,0.538950495049505,0.562838432056766,100.2,0.5317272284407835,0.4928,0.5114032302840913,125.0
control,LC11,0.5476806344069433,0.5981635058394943,0.5717777494006384,305.6,0.4565911382612092,0.5079630895420368,0.4805628695849491,76.4,0.3975373203997064,0.4354166666666667,0.4154976080260861,96.0
macro avg,LC11,0.609053253704925,0.610711428730221,0.6088656933336372,706.4,0.5231525831732563,0.5234567922957709,0.5217006508208575,176.6,0.4646322744202449,0.4641083333333332,0.4634504191550886,221.0
weighted avg,LC11,0.6173252877612767,0.6124016812850852,0.6138640512848716,706.4,0.532130799155773,0.5255328710837185,0.5272427214812898,176.6,0.4734365896537092,0.4678733031674207,0.4697428694842339,221.0
accuracy,LC12,0.5886188699808872,0.5886188699808872,0.5886188699808872,0.5886188699808872,0.4756484334874165,0.4756484334874165,0.4756484334874165,0.4756484334874165,0.502262443438914,0.502262443438914,0.502262443438914,0.502262443438914
case,LC12,0.6503471747149838,0.5948092269326684,0.6213212018570927,400.8,0.5399955383133175,0.5128712871287128,0.5257317106546315,100.2,0.5646751993104935,0.5264,0.5444261517527377,125.0
control,LC12,0.522039638100294,0.580497160612879,0.5497001970315901,305.6,0.3998979018656096,0.4265892002734107,0.4124544570213523,76.4,0.4325850366671868,0.4708333333333333,0.4504616923956546,96.0
macro avg,LC12,0.586193406407639,0.5876531937727736,0.5855106994443415,706.4,0.4699467200894636,0.4697302437010618,0.469093083837992,176.6,0.49863011798884,0.4986166666666666,0.4974439220741962,221.0
weighted avg,LC12,0.5948394052109662,0.5886188699808872,0.5903375052399573,706.4,0.4793970156655094,0.4756484334874165,0.4767830350720889,176.6,0.5072966671215458,0.502262443438914,0.5036090110365387,221.0
