,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.7686862656318242,0.7686862656318242,0.7686862656318242,0.7686862656318242,0.5424242424242424,0.5424242424242424,0.5424242424242424,0.5424242424242424,0.5185520361990951,0.5185520361990951,0.5185520361990951,0.5185520361990951
case,LC0,0.8186463361632118,0.7609825436408977,0.7886494766514074,400.8,0.5970175910656275,0.5987920792079209,0.5966521752499409,100.2,0.5757534799803439,0.5664,0.5707680686593364,125.0
control,LC0,0.713284333585239,0.7788149576770599,0.7444774445658137,305.6,0.4708720419787177,0.4689336978810662,0.4681167760180673,76.4,0.4468335088828031,0.45625,0.4511481962519377,96.0
macro avg,LC0,0.7659653348742255,0.7698987506589787,0.7665634606086106,706.4,0.5339448165221726,0.5338628885444935,0.532384475634004,176.6,0.5112934944315736,0.511325,0.5109581324556369,221.0
weighted avg,LC0,0.7730711658638499,0.7686862656318242,0.7695376625730299,706.4,0.5424587381753799,0.5424242424242424,0.5409571845051934,176.6,0.5197520445714574,0.5185520361990951,0.5188064951249007,221.0
accuracy,LC10,0.6950763510183474,0.6950763510183474,0.6950763510183474,0.6950763510183474,0.5514830508474576,0.5514830508474576,0.5514830508474576,0.5514830508474576,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077
case,LC10,0.7350398161027897,0.7235511221945137,0.7291315066618453,400.8,0.6091026440235302,0.5766336633663366,0.5912971941678739,100.2,0.5656375304072935,0.5536,0.5591760485200609,125.0
control,LC10,0.6448533556833491,0.6577606343083682,0.6510771803915987,305.6,0.4861221131809367,0.5181476418318522,0.500258126648599,76.4,0.4361113048785444,0.4479166666666667,0.4414786272722558,96.0
macro avg,LC10,0.6899465858930693,0.6906558782514409,0.690104343526722,706.4,0.5476123786022334,0.5473906525990945,0.5457776604082364,176.6,0.500874417642919,0.5007583333333334,0.5003273378961584,221.0
weighted avg,LC10,0.6960264575399364,0.6950763510183474,0.6953589805950535,706.4,0.5558860577797742,0.5514830508474576,0.5519814743298911,176.6,0.5093727446572486,0.5076923076923077,0.508049566892055,221.0
accuracy,LC11,0.6993192318017718,0.6993192318017718,0.6993192318017718,0.6993192318017718,0.569658448895737,0.569658448895737,0.569658448895737,0.569658448895737,0.4760180995475113,0.4760180995475113,0.4760180995475113,0.4760180995475113
case,LC11,0.7505152166245599,0.7040985037406484,0.726407520924731,400.8,0.6253119930881963,0.6047524752475247,0.6132905698551852,100.2,0.5377455105874499,0.5152,0.5256308356935608,125.0
control,LC11,0.6415279692526827,0.6930654666238081,0.6661015801156732,305.6,0.5034168451788589,0.5234107997265892,0.5112924219654207,76.4,0.4030108599716029,0.425,0.4130462267960334,96.0
macro avg,LC11,0.6960215929386214,0.6985819851822282,0.6962545505202021,706.4,0.5643644191335275,0.564081637487057,0.5622914959103029,176.6,0.4703781852795264,0.4700999999999999,0.4693385312447972,221.0
weighted avg,LC11,0.7033693959760895,0.6993192318017718,0.7003170506613305,706.4,0.572581318718356,0.569658448895737,0.5692139704691881,176.6,0.4792182415416521,0.4760180995475113,0.4767253042267616,221.0
accuracy,LC12,0.7247945474434129,0.7247945474434129,0.7247945474434129,0.7247945474434129,0.5278055983564458,0.5278055983564458,0.5278055983564458,0.5278055983564458,0.4868778280542986,0.4868778280542986,0.4868778280542986,0.4868778280542986
case,LC12,0.7544104581625104,0.7654600997506235,0.7591095048475142,400.8,0.5802295754037615,0.6046732673267327,0.592007021345408,100.2,0.5506333927304115,0.5072,0.5273507132612232,125.0
control,LC12,0.6874914343692387,0.6714539804993035,0.6780726125500987,305.6,0.4520460054928866,0.4269993164730007,0.4388771192450971,76.4,0.4173311544273431,0.4604166666666667,0.4371484686202905,96.0
macro avg,LC12,0.7209509462658745,0.7184570401249635,0.7185910586988065,706.4,0.516137790448324,0.5158362918998667,0.5154420702952525,176.6,0.4839822735788773,0.4838083333333333,0.4822495909407568,221.0
weighted avg,LC12,0.7254595760212272,0.7247945474434129,0.7240527991597995,706.4,0.5247510176877789,0.5278055983564458,0.5257469155161308,176.6,0.4927283480376759,0.4868778280542986,0.4881678377610895,221.0
