,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC0,0.6565630622147605,0.6565630622147605,0.6565630622147605,0.6565630622147605,0.6431818181818182,0.6431818181818182,0.6431818181818182,0.6431818181818182,0.5402714932126698,0.5402714932126698,0.5402714932126698,0.5402714932126698
case,LC0,0.7156294634032501,0.6556783042394014,0.6841234414028767,400.8,0.6981634005938577,0.6544950495049504,0.6738345120011571,100.2,0.6100437823648328,0.5184,0.5603080880470959,125.0
control,LC0,0.5929671079065891,0.6577006321654345,0.6234137614748093,305.6,0.5844129384827059,0.6279562542720438,0.6034740257292099,76.4,0.4758235521850231,0.56875,0.5179967615144381,96.0
macro avg,LC0,0.6542982856549197,0.656689468202418,0.6537686014388431,706.4,0.6412881695382818,0.6412256518884971,0.6386542688651835,176.6,0.542933667274928,0.543575,0.539152424780767,221.0
weighted avg,LC0,0.6625617067223788,0.6565630622147605,0.6578633232947441,706.4,0.6489087258955598,0.6431818181818182,0.6434574096469144,176.6,0.5517399719699834,0.5402714932126698,0.5419285072908282,221.0
accuracy,LC10,0.6475099270347917,0.6475099270347917,0.6475099270347917,0.6475099270347917,0.6137455059065229,0.6137455059065229,0.6137455059065229,0.6137455059065229,0.4959276018099546,0.4959276018099546,0.4959276018099546,0.4959276018099546
case,LC10,0.7066958734503989,0.6486957605985038,0.6760766714083213,400.8,0.6832990944338462,0.6066336633663367,0.6388567997144328,100.2,0.5607767957543601,0.504,0.5299728571527591,125.0
control,LC10,0.5838151210582473,0.645983070823958,0.6129085143607359,305.6,0.5479068534622209,0.6225905673274095,0.5791053151523794,76.4,0.428750230296622,0.4854166666666667,0.4544939247924846,96.0
macro avg,LC10,0.6452554972543231,0.6473394157112309,0.6444925928845285,706.4,0.6156029739480335,0.614612115346873,0.6089810574334061,176.6,0.4947635130254911,0.4947083333333333,0.4922333909726218,221.0
weighted avg,LC10,0.6535394288467398,0.6475099270347917,0.6487449058175537,706.4,0.624677495085467,0.6137455059065229,0.6130887473469936,176.6,0.5034258894921753,0.4959276018099546,0.4971856286161692,221.0
accuracy,LC11,0.669879112557148,0.669879112557148,0.669879112557148,0.669879112557148,0.6250963020030816,0.6250963020030816,0.6250963020030816,0.6250963020030816,0.4723981900452488,0.4723981900452488,0.4723981900452488,0.4723981900452488
case,LC11,0.7291736359202896,0.6651820448877805,0.6955682958505077,400.8,0.6854719562243502,0.6288514851485149,0.6546287951529652,100.2,0.5367356693996855,0.488,0.5109962043852926,125.0
control,LC11,0.6065781485885788,0.676035572699025,0.6392766186758317,305.6,0.5618334990508903,0.6202665755297334,0.588123251472763,76.4,0.404250131442013,0.4520833333333333,0.4266255200036685,96.0
macro avg,LC11,0.6678758922544341,0.6706088087934028,0.6674224572631697,706.4,0.6236527276376203,0.6245590303391241,0.621376023312864,176.6,0.4704929004208493,0.4700416666666666,0.4688108621944805,221.0
weighted avg,LC11,0.6761375540559517,0.669879112557148,0.6712167855359116,706.4,0.6320154214834924,0.6250963020030816,0.625852775366303,176.6,0.4791853904678459,0.4723981900452488,0.4743464953326414,221.0
accuracy,LC12,0.6514711244495555,0.6514711244495555,0.6514711244495555,0.6514711244495555,0.6206086286594761,0.6206086286594761,0.6206086286594761,0.6206086286594761,0.448868778280543,0.448868778280543,0.448868778280543,0.448868778280543
case,LC12,0.705879066177044,0.6616708229426435,0.6827127638593182,400.8,0.6794830648852466,0.6287722772277228,0.6527302910749979,100.2,0.5127369912455009,0.4992,0.5055057294939618,125.0
control,LC12,0.5903134132741321,0.6380670738240651,0.6128805413465181,305.6,0.5560205992509364,0.6098086124401914,0.5812382307279091,76.4,0.3703489437682986,0.3833333333333333,0.3763129132249914,96.0
macro avg,LC12,0.648096239725588,0.6498689483833543,0.6477966526029182,706.4,0.6177518320680915,0.619290444833957,0.6169842609014535,176.6,0.4415429675068997,0.4412666666666666,0.4409093213594766,221.0
weighted avg,LC12,0.6558804964896741,0.6514711244495555,0.6525065010087406,706.4,0.626079345709025,0.6206086286594761,0.6218257856723814,176.6,0.4508851697169424,0.448868778280543,0.4493857731056307,221.0
