,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
macro avg,LC16,0.7093676579414407,0.7105441117018875,0.7088849549905449,706.4,0.5495000382578533,0.5494432435724775,0.5494122887875166,176.6,0.5151818193925506,0.5153583333333334,0.51321211135769,221.0
weighted avg,LC16,0.7158414936844937,0.7129105545115418,0.7133256869244968,706.4,0.5576545211422286,0.5571712891628147,0.5573546936773702,176.6,0.5238343787859845,0.5176470588235295,0.5186949235559273,221.0
accuracy,LC17,0.7095079155831406,0.7095079155831406,0.7095079155831406,0.7095079155831406,0.5300462249614792,0.5300462249614792,0.5300462249614792,0.5300462249614792,0.5366515837104073,0.5366515837104073,0.5366515837104073,0.5366515837104073
case,LC17,0.7501566028565144,0.7315399002493767,0.7405968807691407,400.8,0.5903469735720375,0.566910891089109,0.5778608622767039,100.2,0.6044598970963047,0.5232,0.5607532169720517,125.0
control,LC17,0.6596333540555357,0.6806214507660988,0.6697838705658545,305.6,0.4578904747444072,0.4819548872180451,0.469004329004329,76.4,0.4716865192493616,0.5541666666666667,0.5094845158232313,96.0
macro avg,LC17,0.7048949784560251,0.7060806755077377,0.7051903756674976,706.4,0.5241187241582225,0.524432889153577,0.5234325956405165,176.6,0.5380732081728332,0.5386833333333334,0.5351188663976415,221.0
weighted avg,LC17,0.7109981322283253,0.7095079155831406,0.7099618132617979,706.4,0.5330503060928663,0.5300462249614792,0.5307155396061533,176.6,0.546784583642429,0.5366515837104073,0.5384826499571795,221.0
accuracy,LC18,0.7100804981347993,0.7100804981347993,0.7100804981347993,0.7100804981347993,0.5742167437082691,0.5742167437082691,0.5742167437082691,0.5742167437082691,0.4633484162895927,0.4633484162895927,0.4633484162895927,0.4633484162895927
case,LC18,0.7497033506219088,0.7340261845386534,0.7417224949832968,400.8,0.6198295735546246,0.6488712871287129,0.6326355959042758,100.2,0.5274332430854171,0.4976,0.5119327648085344,125.0
control,LC18,0.6607811788821798,0.6786778099217828,0.6695277752313047,305.6,0.5092734715436047,0.4764866712235133,0.4899061941249361,76.4,0.3897219463753724,0.41875,0.403555855061946,96.0
macro avg,LC18,0.7052422647520443,0.7063519972302181,0.7056251351073007,706.4,0.5645515225491147,0.5626789791761131,0.5612708950146059,176.6,0.4585775947303947,0.4581749999999999,0.4577443099352402,221.0
weighted avg,LC18,0.7112341655626971,0.7100804981347993,0.7104893504639355,706.4,0.5720179133535161,0.5742167437082691,0.5708577912175328,176.6,0.4676129513018682,0.4633484162895927,0.4648550121584326,221.0
accuracy,LC19,0.6970573504133093,0.6970573504133093,0.6970573504133093,0.6970573504133093,0.518708269131998,0.518708269131998,0.518708269131998,0.518708269131998,0.5104072398190045,0.5104072398190045,0.5104072398190045,0.5104072398190045
case,LC19,0.7367047685956376,0.7255448877805486,0.7310166217200533,400.8,0.5791994122798819,0.5530891089108911,0.5649749739973267,100.2,0.5708224655074425,0.5456,0.5572988090340919,125.0
control,LC19,0.647007092727715,0.659714989821065,0.6532059463628205,305.6,0.4475076171645608,0.4738892686261107,0.4593211146844415,76.4,0.4389978427158626,0.4645833333333333,0.4507552848423029,96.0
macro avg,LC19,0.6918559306616763,0.6926299388008068,0.6921112840414368,706.4,0.5133535147222213,0.5134891887685009,0.512148044340884,176.6,0.5049101541116526,0.5050916666666667,0.5040270469381974,221.0
weighted avg,LC19,0.6979024791082283,0.6970573504133093,0.6973514472022664,706.4,0.5222367134838743,0.518708269131998,0.5192131801718991,176.6,0.5135592809463942,0.5104072398190045,0.5110174591589256,221.0
accuracy,LC1,0.761046756233697,0.761046756233697,0.761046756233697,0.761046756233697,0.5096430405752439,0.5096430405752439,0.5096430405752439,0.5096430405752439,0.5321266968325792,0.5321266968325792,0.5321266968325792,0.5321266968325792
case,LC1,0.7890929856666459,0.7899064837905236,0.789305195153801,400.8,0.5650522253435787,0.5988316831683169,0.5803189296365536,100.2,0.5863598091979467,0.5871999999999999,0.5866927224841244,125.0
control,LC1,0.7251487215127942,0.7231843994428372,0.723835509867213,305.6,0.4249126975201586,0.3929938482570061,0.4064933054009271,76.4,0.461250599025035,0.4604166666666667,0.4607166403217862,96.0
macro avg,LC1,0.75712085358972,0.7565454416166805,0.7565703525105071,706.4,0.4949824614318686,0.4959127657126615,0.4934061175187404,176.6,0.5238052041114909,0.5238083333333333,0.5237046814029552,221.0
weighted avg,LC1,0.7614235957140553,0.761046756233697,0.7609816474774722,706.4,0.5044120431532939,0.5096430405752439,0.5050414488151884,176.6,0.5320137269508901,0.5321266968325792,0.5319700804588553,221.0
accuracy,LC20,0.6993204338645115,0.6993204338645115,0.6993204338645115,0.6993204338645115,0.5244029275808937,0.5244029275808937,0.5244029275808937,0.5244029275808937,0.5375565610859728,0.5375565610859728,0.5375565610859728,0.5375565610859728
case,LC20,0.7486643692388916,0.7090748129675811,0.7278536289366448,400.8,0.5879096805792583,0.5388514851485149,0.5617799077232831,100.2,0.5961058726834929,0.5648,0.5799705268201806,125.0
control,LC20,0.6431394741687037,0.6865380906460945,0.6635450659418867,305.6,0.4553654658217232,0.5051606288448394,0.4784516462397589,76.4,0.4700559543825002,0.5020833333333333,0.4854755549818492,96.0
macro avg,LC20,0.6959019217037976,0.6978064518068378,0.6956993474392658,706.4,0.5216375732004908,0.5220060569966771,0.5201157769815211,176.6,0.5330809135329966,0.5334416666666667,0.532723040901015,221.0
weighted avg,LC20,0.703015415275288,0.6993204338645115,0.700031822977113,706.4,0.5305789641458013,0.5244029275808937,0.5257989333857616,176.6,0.5413511570414328,0.5375565610859728,0.5389229372433488,221.0
accuracy,LC21,0.7055507250441758,0.7055507250441758,0.7055507250441758,0.7055507250441758,0.5357473035439136,0.5357473035439136,0.5357473035439136,0.5357473035439136,0.4651583710407239,0.4651583710407239,0.4651583710407239,0.4651583710407239
case,LC21,0.7729328070441315,0.6831197007481297,0.7244065365317521,400.8,0.6055407956191912,0.528950495049505,0.5642973766986338,100.2,0.5285069204438279,0.4911999999999999,0.5085762427006169,125.0
control,LC21,0.6395477021989555,0.7349362477231329,0.6830773743473837,305.6,0.4669175205493173,0.5445317840054683,0.5024411982356337,76.4,0.3948625164805489,0.43125,0.411687230728935,96.0
macro avg,LC21,0.7062402546215435,0.7090279742356314,0.703741955439568,706.4,0.5362291580842542,0.5367411395274866,0.5333692874671337,176.6,0.4616847184621884,0.461225,0.4601317367147759,221.0
weighted avg,LC21,0.7152227495736672,0.7055507250441758,0.706531239101692,706.4,0.5455763267649177,0.5357473035439136,0.5375685227611211,176.6,0.470453242704123,0.4651583710407239,0.4664887080884836,221.0
accuracy,LC22,0.693371425365928,0.693371425365928,0.693371425365928,0.693371425365928,0.5299242424242424,0.5299242424242424,0.5299242424242424,0.5299242424242424,0.5085972850678733,0.5085972850678733,0.5085972850678733,0.5085972850678733
case,LC22,0.736685053253867,0.7150810473815461,0.7256583037814652,400.8,0.5857845747887256,0.5806930693069307,0.5827384142463893,100.2,0.5677751298437601,0.5536000000000001,0.5604423277783148,125.0
control,LC22,0.6405132074480802,0.6649201757205614,0.6524008422953212,305.6,0.4586476676313337,0.4632262474367737,0.4603147319071132,76.4,0.4354119355176742,0.45,0.4423986745726228,96.0
macro avg,LC22,0.6885991303509736,0.6900006115510539,0.6890295730383933,706.4,0.5222161212100296,0.5219596583718522,0.5215265730767513,176.6,0.5015935326807172,0.5018,0.5014205011754689,221.0
weighted avg,LC22,0.6950848265873504,0.693371425365928,0.6939640030638597,706.4,0.5307860594392033,0.5299242424242424,0.5298022458699184,176.6,0.510277995656863,0.5085972850678733,0.509165446747788,221.0
accuracy,LC23,0.7061148931566568,0.7061148931566568,0.7061148931566568,0.7061148931566568,0.5299627632254751,0.5299627632254751,0.5299627632254751,0.5299627632254751,0.5357466063348417,0.5357466063348417,0.5357466063348417,0.5357466063348417
case,LC23,0.7487139095818933,0.7260374064837906,0.7369877752023741,400.8,0.5932054796466211,0.5591089108910892,0.5727797429600334,100.2,0.5925916393443623,0.5696,0.5797304959437637,125.0
control,LC23,0.6545875573026172,0.6799764277295617,0.6667582666376812,305.6,0.458290667700985,0.4922077922077922,0.4718953514257381,76.4,0.4691269399984996,0.4916666666666667,0.4787392535935982,96.0
macro avg,LC23,0.7016507334422553,0.7030069171066762,0.7018730209200277,706.4,0.525748073673803,0.5256583515494406,0.5223375471928858,176.6,0.530859289671431,0.5306333333333334,0.529234874768681,221.0
weighted avg,LC23,0.7079907835822967,0.7061148931566568,0.7066061583042023,706.4,0.5348674589387514,0.5299627632254751,0.5290471641043731,176.6,0.5389599147416346,0.5357466063348417,0.5358609970043254,221.0
accuracy,LC24,0.6987490533755925,0.6987490533755925,0.6987490533755925,0.6987490533755925,0.5265729327170006,0.5265729327170006,0.5265729327170006,0.5265729327170006,0.5140271493212669,0.5140271493212669,0.5140271493212669,0.5140271493212669
case,LC24,0.7472520065975276,0.7095810473815461,0.727611179137891,400.8,0.5856981442825134,0.5667524752475248,0.5756585066173263,100.2,0.5680153262287936,0.5871999999999999,0.5764503759729556,125.0
control,LC24,0.6428821073607006,0.6845580199292832,0.6626473400334725,305.6,0.4545190847768915,0.4737525632262474,0.463474160985743,76.4,0.4381693410268365,0.41875,0.4268033838171622,96.0
macro avg,LC24,0.6950670569791141,0.6970695336554147,0.6951292595856817,706.4,0.5201086145297025,0.5202525192368861,0.5195663338015347,176.6,0.503092333627815,0.502975,0.5016268798950588,221.0
weighted avg,LC24,0.7021037118339175,0.6987490533755925,0.6995053978990461,706.4,0.5289479517068608,0.5265729327170006,0.5271524607550858,176.6,0.5116116403492105,0.5140271493212669,0.5114453477061855,221.0
accuracy,LC25,0.6874272251183029,0.6874272251183029,0.6874272251183029,0.6874272251183029,0.5322932717000514,0.5322932717000514,0.5322932717000514,0.5322932717000514,0.4805429864253393,0.4805429864253393,0.4805429864253393,0.4805429864253393
case,LC25,0.72501919977793,0.7240311720698255,0.7242876214318654,400.8,0.5901342196419102,0.5728514851485149,0.5812397248658495,100.2,0.5400772244406393,0.5551999999999999,0.5467381548166057,125.0
control,LC25,0.6388918045237777,0.6393785492339012,0.6388060560617485,305.6,0.4616195307252217,0.4790157211209842,0.4699992907339456,76.4,0.3970321967492268,0.3833333333333333,0.3889585308653495,96.0
macro avg,LC25,0.6819555021508539,0.6817048606518633,0.6815468387468069,706.4,0.525876875183566,0.5259336031347496,0.5256195077998976,176.6,0.4685547105949331,0.4692666666666666,0.4678483428409775,221.0
weighted avg,LC25,0.6877531086211938,0.6874272251183029,0.687312955050304,706.4,0.5345441484202265,0.5322932717000514,0.5331373338177772,176.6,0.4779400178416547,0.4805429864253393,0.47820039961606,221.0
accuracy,LC26,0.7103657876916789,0.7103657876916789,0.7103657876916789,0.7103657876916789,0.5017526964560863,0.5017526964560863,0.5017526964560863,0.5017526964560863,0.4959276018099547,0.4959276018099547,0.4959276018099547,0.4959276018099547
case,LC26,0.7510192837186012,0.732998753117207,0.7410024111231713,400.8,0.5666671873372904,0.5330297029702971,0.5485490560537315,100.2,0.5553741877348564,0.5472,0.5509594731013495,125.0
control,LC26,0.6627147303753008,0.6806257366334512,0.6703903637738098,305.6,0.4259025225705491,0.4609706083390293,0.4419101904298546,76.4,0.4208382555779651,0.4291666666666667,0.4246075976020477,96.0
macro avg,LC26,0.706867007046951,0.7068122448753291,0.7056963874484905,706.4,0.4962848549539197,0.4970001556546631,0.4952296232417931,176.6,0.4881062216564108,0.4881833333333333,0.4877835353516985,221.0
weighted avg,LC26,0.7128066499159302,0.7103657876916789,0.7104612500375262,706.4,0.5057616345259405,0.5017526964560863,0.502359624390849,176.6,0.4969332398296004,0.4959276018099547,0.496073590531517,221.0
accuracy,LC27,0.7041362978871744,0.7041362978871744,0.7041362978871744,0.7041362978871744,0.5198189522342065,0.5198189522342065,0.5198189522342065,0.5198189522342065,0.4868778280542987,0.4868778280542987,0.4868778280542987,0.4868778280542987
case,LC27,0.754641297586004,0.7090922693266833,0.7310226769902365,400.8,0.5829781294368528,0.5410297029702971,0.5607910019778495,100.2,0.5466601885129679,0.5327999999999999,0.5384487377348075,125.0
control,LC27,0.6468593664626219,0.6976406300225009,0.6711259218876258,305.6,0.4497508507657751,0.4921736158578264,0.4695680434658928,76.4,0.413626759889303,0.4270833333333333,0.4188926818972089,96.0
macro avg,LC27,0.7007503320243129,0.703366449674592,0.7010742994389311,706.4,0.5163644901013139,0.5166016594140617,0.5151795227218712,176.6,0.4801434742011354,0.4799416666666666,0.4786707098160082,221.0
weighted avg,LC27,0.7080145399054565,0.7041362978871744,0.7051102115966172,706.4,0.5253540524925675,0.5198189522342065,0.5212953821306006,176.6,0.488871911825765,0.4868778280542987,0.4865148854252624,221.0
accuracy,LC28,0.7021661170568696,0.7021661170568696,0.7021661170568696,0.7021661170568696,0.5617167437082691,0.5617167437082691,0.5617167437082691,0.5617167437082691,0.5158371040723981,0.5158371040723981,0.5158371040723981,0.5158371040723981
case,LC28,0.7621079202244789,0.6901259351620948,0.7239246588414365,400.8,0.6228307744333758,0.579049504950495,0.5983340042409072,100.2,0.5803746476103478,0.5216000000000001,0.5491253147813432,125.0
control,LC28,0.6397854799826549,0.7179556412729026,0.6762354304079363,305.6,0.4949511305579314,0.5393711551606288,0.5142199906375425,76.4,0.4491090644410849,0.5083333333333333,0.4766239673259566,96.0
macro avg,LC28,0.7009467001035669,0.7040407882174986,0.7000800446246864,706.4,0.5588909524956536,0.559210330055562,0.5562769974392248,176.6,0.5147418560257164,0.5149666666666667,0.5128746410536499,221.0
weighted avg,LC28,0.7091879557939761,0.7021661170568696,0.7032931887695157,706.4,0.5675316539206852,0.5617167437082691,0.5618729428906996,176.6,0.5233543037902156,0.5158371040723981,0.517631516791673,221.0
accuracy,LC29,0.6919529913331276,0.6919529913331276,0.6919529913331276,0.6919529913331276,0.5130071905495635,0.5130071905495635,0.5130071905495635,0.5130071905495635,0.4787330316742081,0.4787330316742081,0.4787330316742081,0.4787330316742081
case,LC29,0.7317094977811072,0.7220461346633417,0.7265035995849292,400.8,0.5747622160385855,0.5668316831683169,0.5686011615483963,100.2,0.5407091866460215,0.5328,0.5357740276543588,125.0
control,LC29,0.6424019781631803,0.6524933033322619,0.6469404559049304,305.6,0.4326497499131491,0.4419685577580313,0.4348164763208773,76.4,0.3996893898821227,0.4083333333333333,0.4028132768564901,96.0
macro avg,LC29,0.6870557379721437,0.6872697189978018,0.6867220277449299,706.4,0.5037059829758673,0.5044001204631742,0.5017088189346368,176.6,0.4701992882640721,0.4705666666666667,0.4692936522554244,221.0
weighted avg,LC29,0.6930753421364698,0.6919529913331276,0.6920824803949397,706.4,0.5133037010509884,0.5130071905495635,0.5108314381502831,176.6,0.4794517183684908,0.4787330316742081,0.4780173214254203,221.0
accuracy,LC2,0.7126260663298221,0.7126260663298221,0.7126260663298221,0.7126260663298221,0.5221494607087827,0.5221494607087827,0.5221494607087827,0.5221494607087827,0.5085972850678733,0.5085972850678733,0.5085972850678733,0.5085972850678733
case,LC2,0.7603267170964045,0.7215586034912718,0.7402593230513936,400.8,0.5800442126906263,0.5746930693069306,0.5763317227033198,100.2,0.5673508368107796,0.5536,0.5603212107612453,125.0
control,LC2,0.6573521146586423,0.7009214614807672,0.6782222930595245,305.6,0.4480395891867866,0.4530416951469583,0.4491724628734301,76.4,0.4361422750535378,0.45,0.4428781620018595,96.0
macro avg,LC2,0.7088394158775234,0.7112400324860195,0.7092408080554591,706.4,0.5140419009387065,0.5138673822269444,0.5127520927883749,176.6,0.5017465559321587,0.5018,0.5015996863815525,221.0
weighted avg,LC2,0.7157806506627906,0.7126260663298221,0.7134200618187831,706.4,0.522925358852824,0.5221494607087827,0.5213575553708747,176.6,0.5103552624727923,0.5085972850678733,0.5093052257797928,221.0
accuracy,LC30,0.6871403328111039,0.6871403328111039,0.6871403328111039,0.6871403328111039,0.5413007190549564,0.5413007190549564,0.5413007190549564,0.5413007190549564,0.5285067873303168,0.5285067873303168,0.5285067873303168,0.5285067873303168
case,LC30,0.7423788107618414,0.6871097256857855,0.7134875982045704,400.8,0.5988436109791044,0.5868316831683169,0.5921798475236941,100.2,0.5930886816005432,0.5312,0.5600787192836938,125.0
control,LC30,0.6265026479317648,0.6871788278152791,0.6552221236001676,305.6,0.4688242155408788,0.481373889268626,0.474294208950164,76.4,0.462270534367707,0.525,0.4913145751023709,96.0
macro avg,LC30,0.6844407293468031,0.6871442767505324,0.6843548609023691,706.4,0.5338339132599915,0.5341027862184714,0.5332370282369291,176.6,0.527679607984125,0.5281,0.5256966471930323,221.0
weighted avg,LC30,0.692248997568502,0.6871403328111039,0.6882814117927599,706.4,0.5426012332687831,0.5413007190549564,0.5412294122333481,176.6,0.5362626990921618,0.5285067873303168,0.530208321811264,221.0
accuracy,LC31,0.6911099446650452,0.6911099446650452,0.6911099446650452,0.6911099446650452,0.5164804827940421,0.5164804827940421,0.5164804827940421,0.5164804827940421,0.4986425339366516,0.4986425339366516,0.4986425339366516,0.4986425339366516
case,LC31,0.7372151208903766,0.7081097256857856,0.7217325002264363,400.8,0.5809905936357549,0.534930693069307,0.5567909559842142,100.2,0.555531223162802,0.5632,0.5583410485178453,125.0
control,LC31,0.6378373639752279,0.6688760312868316,0.6521275553087702,305.6,0.4454051087519647,0.4921394395078605,0.4673875913037537,76.4,0.4227195107558144,0.4145833333333333,0.4172708589630523,96.0
macro avg,LC31,0.6875262424328021,0.6884928784863086,0.6869300277676034,706.4,0.5131978511938599,0.5135350662885838,0.512089273643984,176.6,0.4891253669593082,0.4888916666666666,0.4878059537404487,221.0
weighted avg,LC31,0.6942349726892714,0.6911099446650452,0.6916131750452217,706.4,0.5223494667563944,0.5164804827940421,0.5181521923578026,176.6,0.4978392575923459,0.4986425339366516,0.4970616901592021,221.0
accuracy,LC32,0.6854450236606016,0.6854450236606016,0.6854450236606016,0.6854450236606016,0.5220980996404725,0.5220980996404725,0.5220980996404725,0.5220980996404725,0.5122171945701357,0.5122171945701357,0.5122171945701357,0.5122171945701357
case,LC32,0.7430552942772852,0.682145885286783,0.7110479202823645,400.8,0.5830857761947199,0.5528316831683169,0.566623003932009,100.2,0.5711988423448404,0.5504,0.5605300717950181,125.0
control,LC32,0.6233103666411541,0.6898103503696561,0.6546111124598113,305.6,0.4511799906992367,0.4814764183185235,0.4647392373527506,76.4,0.4417066593537181,0.4625,0.4517738927738927,96.0
macro avg,LC32,0.6831828304592197,0.6859781178282195,0.6828295163710879,706.4,0.5171328834469783,0.5171540507434201,0.5156811206423798,176.6,0.5064527508492793,0.50645,0.5061519822844553,221.0
weighted avg,LC32,0.6912585578283303,0.6854450236606016,0.6866276531570115,706.4,0.5260270253572688,0.5220980996404725,0.5226170946578946,176.6,0.514948844303448,0.5122171945701357,0.5132875686908188,221.0
accuracy,LC33,0.6981836832003718,0.6981836832003718,0.6981836832003718,0.6981836832003718,0.5594247560349255,0.5594247560349255,0.5594247560349255,0.5594247560349255,0.4950226244343891,0.4950226244343891,0.4950226244343891,0.4950226244343891
case,LC33,0.7443465954069808,0.7135586034912718,0.7284354456176898,400.8,0.6203808984701734,0.5788910891089109,0.5976740946725236,100.2,0.5534375092755243,0.5488,0.5502627119861137,125.0
control,LC33,0.6435529452249888,0.6779749276759884,0.6600822822729299,305.6,0.4918911346107826,0.5339712918660287,0.5107393492731525,76.4,0.4206841466823585,0.425,0.4217494134755158,96.0
macro avg,LC33,0.6939497703159848,0.6957667655836302,0.6942588639453098,706.4,0.5561360165404781,0.5564311904874698,0.554206721972838,176.6,0.4870608279789413,0.4869,0.4860060627308147,221.0
