,LC,precision,recall,f1-score,support
macro avg,LC45,0.6356779906104912,0.6311957022823848,0.6172871309011894,706.4
weighted avg,LC45,0.6472502636056159,0.6203385008674887,0.6173964033250645,706.4
accuracy,LC46,0.6305167667717804,0.6305167667717804,0.6305167667717804,0.6305167667717804
case,LC46,0.6785217455627296,0.6666658354114714,0.6699153145486434,400.8
control,LC46,0.575946386137469,0.5831308261009323,0.5757038926442122,305.6
macro avg,LC46,0.6272340658500993,0.6248983307562017,0.6228096035964278,706.4
weighted avg,LC46,0.6341500706800479,0.6305167667717804,0.6291546915274626,706.4
accuracy,LC47,0.6325037764804404,0.6325037764804404,0.6325037764804404,0.6325037764804404
case,LC47,0.6958544028615591,0.6337581047381546,0.6594899987196322,400.8
control,LC47,0.5709707484891371,0.6309075324118718,0.5955501088077295,305.6
macro avg,LC47,0.633412575675348,0.6323328185750132,0.6275200537636809,706.4
weighted avg,LC47,0.641833383564516,0.6325037764804404,0.6318207204895078,706.4
accuracy,LC48,0.647505118783833,0.647505118783833,0.647505118783833,0.647505118783833
case,LC48,0.6938505372704227,0.6801172069825436,0.6854805366166248,400.8
control,LC48,0.5929325648485835,0.6047123111539697,0.5966466274096192,305.6
macro avg,LC48,0.6433915510595031,0.6424147590682567,0.641063582013122,706.4
weighted avg,LC48,0.6501890380004713,0.647505118783833,0.6470528025710633,706.4
accuracy,LC49,0.6443929783508501,0.6443929783508501,0.6443929783508501,0.6443929783508501
case,LC49,0.687328326763817,0.6866159600997507,0.6863437656650344,400.8
control,LC49,0.5896065735619512,0.5890453230472517,0.5883942131915763,305.6
macro avg,LC49,0.6384674501628841,0.6378306415735011,0.6373689894283053,706.4
weighted avg,LC49,0.6450563514993546,0.6443929783508501,0.6439650430958507,706.4
accuracy,LC4,0.6443917762881104,0.6443917762881104,0.6443917762881104,0.6443917762881104
case,LC4,0.7333706937472465,0.5907718204488778,0.6515913260579166,400.8
control,LC4,0.5730925050243868,0.714651237544198,0.6340597503828819,305.6
macro avg,LC4,0.6532315993858167,0.652711528996538,0.6428255382203993,706.4
weighted avg,LC4,0.6640240522548925,0.6443917762881104,0.6440177371652015,706.4
accuracy,LC5,0.6449667629652484,0.6449667629652484,0.6449667629652484,0.6449667629652484
case,LC5,0.7102401581144756,0.6332543640897755,0.6685730138097998,400.8
control,LC5,0.5798155433488167,0.660317154184078,0.616515473700642,305.6
macro avg,LC5,0.6450278507316461,0.6467857591369268,0.6425442437552209,706.4
weighted avg,LC5,0.6538159216392311,0.6449667629652484,0.6460541691440962,706.4
accuracy,LC6,0.6449619547142897,0.6449619547142897,0.6449619547142897,0.6449619547142897
case,LC6,0.6996037130491389,0.6646758104738154,0.6769746226496292,400.8
control,LC6,0.5905035052936318,0.6191256830601093,0.598825863543752,305.6
macro avg,LC6,0.6450536091713854,0.6419007467669624,0.6379002430966906,706.4
weighted avg,LC6,0.6524064235075084,0.6449619547142897,0.6431627986742112,706.4
accuracy,LC7,0.6577062238801784,0.6577062238801784,0.6577062238801784,0.6577062238801784
case,LC7,0.7085848858588115,0.6756483790523691,0.6907755996526942,400.8
control,LC7,0.5997129292881771,0.6341305046608807,0.615374865916527,305.6
