GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0099572	postsynaptic specialization	0.0034968389244515825	0.0034968389244515825	+1	RS4673664,RS17724172,RS1158541,RS1891673,RS12508654,RS16934661
GO:0071944	cell periphery	0.0036541998422894785	0.0036541998422894785	+1	RS4673664,RS17552089,RS7147607,RS9289163,RS651284,RS2143511,RS17724172,RS12462724,RS4233728,RS12239846,RS1158541,RS4252125,RS2389910,RS1334392,RS2709591,RS749008,RS1015387,RS1891673,RS9961643,RS3093170,RS12508654,RS16934661
GO:0005886	plasma membrane	0.004245503482999949	0.004245503482999949	+1	RS4673664,RS17552089,RS7147607,RS9289163,RS651284,RS2143511,RS17724172,RS12462724,RS4233728,RS12239846,RS1158541,RS4252125,RS2389910,RS1334392,RS2709591,RS749008,RS1015387,RS1891673,RS3093170,RS12508654,RS16934661
GO:0099634	postsynaptic specialization membrane	0.007912862941674821	0.007912862941674821	+1	RS4673664,RS1158541,RS12508654,RS16934661
GO:0014069	postsynaptic density	0.033649015801614654	0.033649015801614654	+1	RS4673664,RS17724172,RS1158541,RS1891673,RS16934661
GO:0032279	asymmetric synapse	0.03663588250375075	0.03663588250375075	+1	RS4673664,RS17724172,RS1158541,RS1891673,RS16934661
GO:0045202	synapse	0.03826417067610516	0.03826417067610516	+1	RS4673664,RS9289163,RS17724172,RS1158541,RS4252125,RS749008,RS1891673,RS12508654,RS16934661
GO:0098978	glutamatergic synapse	0.04037298956325588	0.04037298956325588	+1	RS4673664,RS17724172,RS4252125,RS749008,RS16934661
HPA:0481321	small intestine; enterocytes - Microvilli[≥Low]	0.033592533634567934	0.033592533634567934	+1	RS4233728,RS12239846,RS1891673,RS9961643,RS3093170
