,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
weighted avg,LC6,0.728186512,0.725536914,0.726104494,883.2,0.559910436,0.557042369,0.557877513,220.8
accuracy,LC7,0.706292565,0.706292565,0.706292565,0.706292565,0.519975319,0.519975319,0.519975319,0.519975319
case,LC7,0.746733529,0.730831138,0.738198861,500.8,0.578649319,0.559022222,0.567582418,125.2
control,LC7,0.657239953,0.674173308,0.664944576,382.4,0.449150521,0.468486842,0.457371591,95.6
macro avg,LC7,0.701986741,0.702502223,0.701571718,883.2,0.51389992,0.513754532,0.512477004,220.8
weighted avg,LC7,0.707988896,0.706292565,0.706479997,883.2,0.522582227,0.519975319,0.519941581,220.8
accuracy,LC8,0.723500459,0.723500459,0.723500459,0.723500459,0.541628959,0.541628959,0.541628959,0.541628959
case,LC8,0.749899463,0.768762475,0.75902838,500.8,0.59439372,0.599022222,0.596471096,125.2
control,LC8,0.687656262,0.664216095,0.675423129,382.4,0.472043481,0.466491228,0.468944476,95.6
macro avg,LC8,0.718777863,0.716489285,0.717225755,883.2,0.5332186,0.532756725,0.532707786,220.8
weighted avg,LC8,0.72294968,0.723500459,0.722831373,883.2,0.541433709,0.541628959,0.541257198,220.8
accuracy,LC9,0.715580369,0.715580369,0.715580369,0.715580369,0.4927355,0.4927355,0.4927355,0.4927355
case,LC9,0.757219585,0.734823154,0.74557689,500.8,0.555634863,0.527111111,0.540577397,125.2
control,LC9,0.665276227,0.690347628,0.677182617,382.4,0.419240672,0.447719298,0.432548385,95.6
macro avg,LC9,0.711247906,0.712585391,0.711379753,883.2,0.487437768,0.487415205,0.486562891,220.8
weighted avg,LC9,0.717406338,0.715580369,0.715968816,883.2,0.496584266,0.4927355,0.493805359,220.8
